rank,model_3mm,n_features_3mm,model_2mm,n_features_2mm,cv_mae_3mm,cv_mae_2mm,feasible,q2,q0,margin2_GPR3mm,margin2_GPR2mm,margin0_GPR3mm,margin0_GPR2mm,score,f1_2,f1_0,recall_2,precision_2,recall_0,precision_0,overall_accuracy,autopass_rate,replan_rate,manual_rate
115,SVR,5,SVR,15,0.5823,2.1783,True,0.85,0.8,0.7431,2.3998,0.3406,1.9109,0.6653,0.1529,0.5124,0.0839,0.8667,0.4133,0.6739,0.4403,0.0484,0.0742,0.8774
116,SVR,10,XGBoost,5,0.6033,2.2867,True,0.85,0.9,0.7998,2.2868,0.7245,3.2243,0.6642,0.1155,0.5487,0.0613,1.0,0.4133,0.8158,0.4484,0.0306,0.0613,0.9081
117,XGBoost,15,MLP,15,0.5173,2.8745,True,0.9,0.45,0.8528,4.3503,0.0635,-0.226,0.6617,0.0502,0.6116,0.0258,0.8889,0.4933,0.8043,0.4355,0.0145,0.0742,0.9113
118,Ridge,10,RandomForest,15,0.8846,2.1605,True,0.8,0.35,0.7029,1.6032,-0.1392,-0.2078,0.6602,0.1261,0.5341,0.0677,0.913,0.6267,0.4653,0.3984,0.0371,0.1629,0.8
119,XGBoost,10,XGBoost,15,0.5293,2.121,True,0.9,0.5,0.7941,2.6951,0.0786,0.4014,0.6594,0.0685,0.5909,0.0355,1.0,0.52,0.6842,0.4306,0.0177,0.0919,0.8903
120,MLP,10,XGBoost,5,0.6694,2.2867,True,0.85,0.25,0.7452,2.2868,-0.3101,-1.5862,0.6593,0.0979,0.5614,0.0516,0.9412,0.64,0.5,0.4032,0.0274,0.1548,0.8177
121,RandomForest,5,Ridge,5,0.5325,2.6041,True,0.99,0.15,6.3237,16.2508,-0.4771,-2.7877,0.6562,0.0,0.6562,0.0,,0.84,0.5385,0.3935,0.0,0.1887,0.8113
122,RandomForest,5,Ridge,10,0.5325,2.6627,True,0.99,0.15,6.3237,14.9976,-0.4771,-3.212,0.6562,0.0,0.6562,0.0,,0.84,0.5385,0.3935,0.0,0.1887,0.8113
123,XGBoost,10,MLP,15,0.5293,2.8745,True,0.9,0.5,0.7941,4.3503,0.0786,-0.0071,0.6558,0.0798,0.576,0.0419,0.8125,0.48,0.72,0.4306,0.0258,0.0806,0.8935
124,XGBoost,15,MLP,10,0.5173,2.7967,True,0.9,0.55,0.8528,4.7149,0.1521,0.1757,0.6547,0.0317,0.623,0.0161,1.0,0.5067,0.8085,0.4339,0.0081,0.0758,0.9161
125,XGBoost,15,MLP,5,0.5173,2.4104,True,0.9,0.4,0.8528,3.5638,0.022,-0.3882,0.6471,0.0317,0.6154,0.0161,1.0,0.5333,0.7273,0.4274,0.0081,0.0887,0.9032
126,MLP,15,Ridge,10,0.6928,2.6627,True,0.99,0.35,4.893,14.9976,-0.1688,-0.3879,0.6467,0.0,0.6467,0.0,,0.72,0.587,0.4048,0.0,0.1484,0.8516
127,MLP,15,Ridge,15,0.6928,2.7373,True,0.99,0.35,4.893,15.3867,-0.1688,-0.2658,0.6467,0.0,0.6467,0.0,,0.72,0.587,0.4048,0.0,0.1484,0.8516
128,XGBoost,5,Ridge,5,0.5221,2.6041,True,0.99,0.2,6.5611,16.2508,-0.3338,-1.9066,0.6467,0.0,0.6467,0.0,,0.72,0.587,0.4048,0.0,0.1484,0.8516
129,XGBoost,5,Ridge,10,0.5221,2.6627,True,0.99,0.2,6.5611,14.9976,-0.3338,-1.9746,0.6467,0.0,0.6467,0.0,,0.72,0.587,0.4048,0.0,0.1484,0.8516
130,XGBoost,5,Ridge,15,0.5221,2.7373,True,0.99,0.2,6.5611,15.3867,-0.3338,-2.2275,0.6467,0.0,0.6467,0.0,,0.72,0.587,0.4048,0.0,0.1484,0.8516
131,SVR,10,SVR,15,0.6033,2.1783,True,0.85,0.2,0.7998,2.3998,-0.5037,-1.6,0.6462,0.1377,0.5085,0.0742,0.9583,0.6,0.4412,0.3952,0.0387,0.1645,0.7968
132,XGBoost,10,Ridge,5,0.5293,2.6041,True,0.99,0.65,6.0546,16.2508,0.2246,1.3575,0.6457,0.0,0.6457,0.0,,0.5467,0.7885,0.4274,0.0,0.0839,0.9161
133,XGBoost,10,Ridge,10,0.5293,2.6627,True,0.99,0.65,6.0546,14.9976,0.2246,1.3378,0.6457,0.0,0.6457,0.0,,0.5467,0.7885,0.4274,0.0,0.0839,0.9161
